,Date,Stock Price,Stock Price Present
521,2018-08-11,79.42,0
522,2018-08-12,79.42,0
523,2018-08-13,78.56,1
524,2018-08-14,78.31,1
525,2018-08-15,76.94,1
526,2018-08-16,78.0,1
527,2018-08-17,78.26,1
528,2018-08-18,78.26,0
529,2018-08-19,78.26,0
530,2018-08-20,78.81,1
531,2018-08-21,78.83,1
532,2018-08-22,79.96,1
533,2018-08-23,79.08,1
534,2018-08-24,79.62,1
535,2018-08-25,79.62,0
536,2018-08-26,79.62,0
537,2018-08-27,80.4,1
538,2018-08-28,80.28,1
539,2018-08-29,80.86,1
540,2018-08-30,80.51,1
541,2018-08-31,80.17,1
542,2018-09-01,80.17,0
543,2018-09-02,80.17,0
544,2018-09-03,80.17,0
545,2018-09-04,80.29,1
546,2018-09-05,81.36,1
547,2018-09-06,80.46,1
548,2018-09-07,81.83,1
549,2018-09-08,81.83,0
550,2018-09-09,81.83,0
551,2018-09-10,81.71,1
552,2018-09-11,82.86,1
553,2018-09-12,83.13,1
554,2018-09-13,82.32,1
555,2018-09-14,82.92,1
556,2018-09-15,82.92,0
557,2018-09-16,82.92,0
558,2018-09-17,83.41,1
559,2018-09-18,83.63,1
560,2018-09-19,84.63,1
561,2018-09-20,84.82,1
562,2018-09-21,85.17,1
563,2018-09-22,85.17,0
564,2018-09-23,85.17,0
565,2018-09-24,86.6,1
566,2018-09-25,86.5,1
567,2018-09-26,85.78,1
568,2018-09-27,85.77,1
569,2018-09-28,85.02,1
570,2018-09-29,85.02,0
571,2018-09-30,85.02,0
572,2018-10-01,85.81,1
573,2018-10-02,86.46,1
574,2018-10-03,86.15,1
575,2018-10-04,85.58,1
576,2018-10-05,85.34,1
577,2018-10-06,85.34,0
578,2018-10-07,85.34,0
579,2018-10-08,86.13,1
580,2018-10-09,86.51,1
581,2018-10-10,84.52,1
582,2018-10-11,81.6,1
583,2018-10-12,81.38,1
584,2018-10-13,81.38,0
585,2018-10-14,81.38,0
586,2018-10-15,80.82,1
587,2018-10-16,81.2,1
588,2018-10-17,81.5,1
589,2018-10-18,81.85,1
590,2018-10-19,81.97,1
591,2018-10-20,81.97,0
592,2018-10-21,81.97,0
593,2018-10-22,81.15,1
594,2018-10-23,79.84,1
595,2018-10-24,77.62,1
596,2018-10-25,78.31,1
597,2018-10-26,77.53,1
598,2018-10-27,77.53,0
599,2018-10-28,77.53,0
600,2018-10-29,77.05,1
601,2018-10-30,78.78,1
602,2018-10-31,79.68,1
603,2018-11-01,80.67,1
604,2018-11-02,81.95,1
605,2018-11-03,81.95,0
606,2018-11-04,81.95,0
607,2018-11-05,81.64,1
608,2018-11-06,81.99,1
609,2018-11-07,83.03,1
610,2018-11-08,81.71,1
611,2018-11-09,80.87,1
612,2018-11-10,80.87,0
613,2018-11-11,80.87,0
614,2018-11-12,79.83,1
615,2018-11-13,78.0,1
616,2018-11-14,77.39,1
617,2018-11-15,78.19,1
618,2018-11-16,78.96,1
619,2018-11-17,78.96,0
620,2018-11-18,78.96,0
621,2018-11-19,79.22,1
622,2018-11-20,76.97,1
623,2018-11-21,77.56,1
624,2018-11-22,77.56,0
625,2018-11-23,75.49,1
626,2018-11-24,75.49,0
627,2018-11-25,75.49,0
628,2018-11-26,76.98,1
629,2018-11-27,77.05,1
630,2018-11-28,78.45,1
631,2018-11-29,79.06,1
632,2018-11-30,79.5,1
633,2018-12-01,79.5,0
634,2018-12-02,79.5,0
635,2018-12-03,81.22,1
636,2018-12-04,79.43,1
637,2018-12-05,79.43,0
638,2018-12-06,78.39,1
639,2018-12-07,77.64,1
640,2018-12-08,77.64,0
641,2018-12-09,77.64,0
642,2018-12-10,76.54,1
643,2018-12-11,76.68,1
644,2018-12-12,76.02,1
645,2018-12-13,76.98,1
646,2018-12-14,75.58,1
647,2018-12-15,75.58,0
648,2018-12-16,75.58,0
649,2018-12-17,74.04,1
650,2018-12-18,72.0,1
651,2018-12-19,70.78,1
652,2018-12-20,68.63,1
653,2018-12-21,68.12,1
654,2018-12-22,68.12,0
655,2018-12-23,68.12,0
656,2018-12-24,65.51,1
657,2018-12-25,65.51,0
658,2018-12-26,68.64,1
659,2018-12-27,68.94,1
660,2018-12-28,68.17,1
661,2018-12-29,68.17,0
662,2018-12-30,68.17,0
663,2018-12-31,68.19,1
664,2019-01-01,68.19,0
665,2019-01-02,69.69,1
666,2019-01-03,68.62,1
667,2019-01-04,71.15,1
668,2019-01-05,71.15,0
669,2019-01-06,71.15,0
670,2019-01-07,71.52,1
671,2019-01-08,72.04,1
672,2019-01-09,72.42,1
673,2019-01-10,72.05,1
674,2019-01-11,71.72,1
675,2019-01-12,71.72,0
676,2019-01-13,71.72,0
677,2019-01-14,71.63,1
678,2019-01-15,71.67,1
679,2019-01-16,71.64,1
680,2019-01-17,72.13,1
681,2019-01-18,72.99,1
682,2019-01-19,72.99,0
683,2019-01-20,72.99,0
684,2019-01-21,72.99,0
685,2019-01-22,71.89,1
686,2019-01-23,71.3,1
687,2019-01-24,71.4,1
688,2019-01-25,71.72,1
689,2019-01-26,71.72,0
690,2019-01-27,71.72,0
691,2019-01-28,71.24,1
692,2019-01-29,71.51,1
693,2019-01-30,72.29,1
694,2019-01-31,73.28,1
695,2019-02-01,75.92,1
696,2019-02-02,75.92,0
697,2019-02-03,75.92,0
698,2019-02-04,74.82,1
699,2019-02-05,75.59,1
